problem,algorithm,B,Nlike_used,W1_marginal_avg,SWD,dlogZ,Neff,eta_Nlike,Rhat_max
mridges,ns,500000.0,472833.0,0.24752336298582772,0.288280091958287,0.09214151224984324,90.0133587725176,0.00019021273414983173,NaN
mridges,nuts,50000.0,45085.0,2.1073199132976064,2.146054821235076,NaN,15.983676981907387,0.00035486812512787485,1.0436121341086086
mridges_spiky,is,5000.0,5000.0,0.9658401066080908,1.0040492352517676,2.80408779902009,1.209018453717305,0.00024180369074346103,NaN
mridges_spiky,is,50000.0,50000.0,0.5401756733569125,0.5774399582132853,0.8687487702344203,2.016637188497728,4.0332743769954554e-5,NaN
mridges_spiky,is,500000.0,500000.0,0.24954182572709296,0.2859424113596013,0.41958823412654667,7.331283090287343,1.4662566180574686e-5,NaN
mridges_spiky,mh,5000.0,5000.0,0.1576112187219091,0.151773201883022,NaN,65.143397618978,0.0130286795237956,1.0477388308934978
mridges_spiky,mh,50000.0,50000.0,0.035933859612611196,0.04995282037655363,NaN,363.05653424212045,0.0072611306848424095,1.0112434074416883
mridges_spiky,mh,500000.0,500000.0,0.013700682435358255,0.015823769249947564,NaN,3753.0643463858514,0.007506128692771703,1.0009202421880246
mridges_spiky,mw,5000.0,5489.5,0.1088916925457539,0.16764455500570236,0.22698326997492124,1386.6971713824846,0.2586277423020825,NaN
mridges_spiky,mw,50000.0,13949.0,0.04018085585401106,0.05670834283637916,0.017753258915651493,6001.906238418611,0.4279714985746652,NaN
mridges_spiky,mw,500000.0,26050.5,0.05067110583078875,0.06771316930618172,0.011357469254521746,6087.801572983293,0.23297725103406225,NaN
mridges_spiky,ns,5000.0,5337.0,0.9802748624895469,1.0086963013558257,3.7262734371826074,1.1988816127165234,0.00022305121034834805,NaN
mridges_spiky,ns,50000.0,46655.0,0.10913187069455063,0.11892363282579575,0.09298794806729926,39.65623764087254,0.0008434715812544332,NaN
mridges_spiky,ns,500000.0,469606.0,0.019934798821971557,0.020757161491622045,0.135009887370237,3655.5614816672883,0.00776388049713724,NaN
mridges_spiky,nuts,50000.0,45018.0,0.144137460934192,0.1708835429042081,NaN,8.884636694276429,0.00019738111961568763,1.017615482440132
mridges_spiky,nuts,500000.0,450045.0,0.036656996972045656,0.04078617494225861,NaN,56.866159371018334,0.00012630160152233655,1.035744059369229
mvn,is,5000.0,5000.0,1.376710769819018,1.348974974837835,7.238809732076595,1.125904435932549,0.0002251808871865098,NaN
mvn,is,50000.0,50000.0,0.943721115533507,0.886798774793544,2.0725879401978053,2.6324065614578025,5.264813122915604e-5,NaN
mvn,is,500000.0,500000.0,0.38782070280441705,0.3839184885476258,0.33507523447654997,6.422660744411704,1.284532148882341e-5,NaN
mvn,mh,50000.0,50000.0,0.09372447768447353,0.08481714047988663,NaN,167.5909409868741,0.0033518188197374822,1.0258407608811317
mvn,mh,500000.0,500000.0,0.022129990256418715,0.021043258803950908,NaN,1530.9531654112398,0.0030619063308224793,1.0022842776890815
mvn,mw,5000.0,5464.5,0.043579840755187886,0.0413530406538127,0.11516781375931817,2579.9844511883084,0.4808308325829288,NaN
mvn,mw,50000.0,33962.0,0.02947005087093692,0.023594505631650983,0.03531999036921185,25550.109445942304,0.7538667177556491,NaN
mvn,mw,500000.0,48034.5,0.026611672145793748,0.02733394766780952,0.03529413878025878,25565.362444906525,0.5318746079104965,NaN
mvn,ns,5000.0,5252.5,1.5340637158317567,1.4379672029184578,8.42835257684681,1.1890153112209068,0.00022205068865766676,NaN
mvn,ns,50000.0,47624.0,0.05172229196388452,0.03819657132180938,0.14952623713586366,498.06519721474456,0.011490853113395628,NaN
mvn,ns,500000.0,201300.5,0.024634296067580462,0.02361544719873254,0.06217110485040234,3674.69146417664,0.018296821080460594,NaN
mvn,nuts,50000.0,45036.0,0.0845193915858288,0.07500430809560832,NaN,90.14857796852361,0.0020019670879085857,1.0071671581326462
mvn,nuts,500000.0,450149.0,0.027605676059766555,0.02525580281902324,NaN,1661.5688452759011,0.003691682598999483,1.001587202548144
shell,is,5000.0,5000.0,0.3908540395889871,0.42099076224372006,0.1350268153790708,24.944349784632834,0.004988869956926567,NaN
shell,is,50000.0,50000.0,0.16301807729744175,0.1471925774913303,0.03630028551539688,208.55279443699848,0.0041710558887399695,NaN
shell,is,500000.0,500000.0,0.06105601345655668,0.06046750972160596,0.008269700222943932,2127.769548027944,0.004255539096055888,NaN
shell,mh,5000.0,5000.0,0.14423223211711855,0.14657762976167077,NaN,178.75433997891918,0.035750867995783836,1.0219966182162379
shell,mh,50000.0,50000.0,0.059833683970734595,0.04772916973251575,NaN,1883.415286133701,0.037668305722674024,1.0027473023928744
shell,mh,500000.0,500000.0,0.03807509601447499,0.03117094286620813,NaN,19164.32628107759,0.038328652562155174,1.0003308890965636
shell,mw,5000.0,5027.0,2.9855626668997877,2.924299634182219,13.115055053196908,1.0000152277179555,0.0001989288298623345,NaN
shell,mw,50000.0,12091.0,3.1394485515047266,2.987785082637137,17.02350124634861,1.0000006045519272,8.270619506673783e-5,NaN
shell,mw,500000.0,61908.0,3.148169106502561,3.1722159661245577,25.092841881743592,1.0000020483292,1.6153034314292177e-5,NaN
shell,ns,5000.0,5384.0,0.4170448169788926,0.41087367037987144,0.15141717654262177,25.557825359498885,0.004746995794854919,NaN
shell,ns,50000.0,44489.0,0.08317341998818568,0.07528288117016022,0.1281720470368306,1513.253438691555,0.03401410323206984,NaN
shell,ns,500000.0,471508.0,0.058050500678327156,0.07015328596104063,0.042184071480423135,2064.6276342895812,0.004387121495862998,NaN
shell,nuts,50000.0,45071.5,0.47708701383289864,0.45730758250931686,NaN,32.224410470366294,0.0007152611363546028,1.0002345066696754
shell,nuts,500000.0,450077.0,0.05623287812896873,0.045474512486278026,NaN,3799.0,0.008440777911335172,1.0002985441929653
